REG_NO,ACC_NO,PROGRAM,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,STUDENT_LIST
J25M37/001,A10743,Master of Science in Human Nutrition,Gayaza High School,Kampala,Tier 1,Private/Faith-based,List16
J25M37/003,A10765,Master of Science in Human Nutrition,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List16
KJ24M37/001,A10742,Master of Science in Human Nutrition,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,List16
KM25M37/006,A10766,Master of Science in Human Nutrition,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List16
KS25M37/003,A10749,Master of Science in Human Nutrition,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List16
M24M37/002,A10744,Master of Science in Human Nutrition,Moroto High School,Moroto,Tier 2,Private/Faith-based,List16
M24M37/004,A10754,Master of Science in Human Nutrition,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed,List16
M24M37/006,A10758,Master of Science in Human Nutrition,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List16
M25M37/001,A10741,Master of Science in Human Nutrition,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed,List16
M25M37/003,A10752,Master of Science in Human Nutrition,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List16
M25M37/005,A10761,Master of Science in Human Nutrition,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List16
S24M37/001,A10748,Master of Science in Human Nutrition,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List16
S24M37/003,A10755,Master of Science in Human Nutrition,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,List16
S24M37/005,A10762,Master of Science in Human Nutrition,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List16
S24M37/007,A10770,Master of Science in Human Nutrition,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,List16
S24M37/009,A10774,Master of Science in Human Nutrition,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based,List16
S25M37/001,A10738,Master of Science in Human Nutrition,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List16
S25M37/004,A10768,Master of Science in Human Nutrition,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List16
S25M37/006,A10775,Master of Science in Human Nutrition,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List16
J24P38/002,A10792,PhD in Agricultural Systems and Value Chain Management,Mubende Secondary School,Mubende,Tier 2,Public/Mixed,List16
J25P38/001,A10791,PhD in Agricultural Systems and Value Chain Management,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
KM24P38/003,A10795,PhD in Agricultural Systems and Value Chain Management,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed,List16
KS24P38/001,A10784,PhD in Agricultural Systems and Value Chain Management,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed,List16
M24P38/002,A10782,PhD in Agricultural Systems and Value Chain Management,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed,List16
M24P38/005,A10799,PhD in Agricultural Systems and Value Chain Management,Ngora High School,Soroti,Tier 2,Private/Faith-based,List16
M25P38/003,A10788,PhD in Agricultural Systems and Value Chain Management,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based,List16
M25P38/005,A10796,PhD in Agricultural Systems and Value Chain Management,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List16
S24P38/003,A10786,PhD in Agricultural Systems and Value Chain Management,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based,List16
S24P38/005,A10798,PhD in Agricultural Systems and Value Chain Management,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List16
S25P38/002,A10789,PhD in Agricultural Systems and Value Chain Management,Gayaza High School,Kampala,Tier 1,Private/Faith-based,List16
J22B45/002,A10822,Bachelor of Science in Computer Science,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List16
J22B45/005,A10890,Bachelor of Science in Computer Science,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List16
J22B45/007,A10914,Bachelor of Science in Computer Science,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,List16
J23B45/002,A10838,Bachelor of Science in Computer Science,Kumi Secondary School,Kumi,Tier 2,Public/Mixed,List16
J23B45/004,A10870,Bachelor of Science in Computer Science,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List16
J23B45/006,A10899,Bachelor of Science in Computer Science,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List16
J24B45/001,A10819,Bachelor of Science in Computer Science,Moroto High School,Moroto,Tier 2,Private/Faith-based,List16
J24B45/003,A10834,Bachelor of Science in Computer Science,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List16
J24B45/005,A10862,Bachelor of Science in Computer Science,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,List16
J24B45/007,A10882,Bachelor of Science in Computer Science,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,List16
J24B45/009,A10908,Bachelor of Science in Computer Science,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List16
J25B45/003,A10855,Bachelor of Science in Computer Science,Butambala Secondary School,Butambala,Tier 2,Public/Mixed,List16
J25B45/005,A10879,Bachelor of Science in Computer Science,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
J25B45/007,A10904,Bachelor of Science in Computer Science,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List16
KJ23B45/007,A10903,Bachelor of Science in Computer Science,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,List16
KJ25B45/002,A10824,Bachelor of Science in Computer Science,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List16
KM22B45/006,A10872,Bachelor of Science in Computer Science,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed,List16
KM23B45/004,A10898,Bachelor of Science in Computer Science,Makerere College School,Kampala,Tier 2,Private/Faith-based,List16
KM24B45/003,A10853,Bachelor of Science in Computer Science,Ntare School,Kampala,Tier 1,Public/Mixed,List16
KM24B45/009,A10897,Bachelor of Science in Computer Science,Lira Town College,Lira,Tier 2,Private/Faith-based,List16
KM25B45/001,A10801,Bachelor of Science in Computer Science,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,List16
KM25B45/005,A10835,Bachelor of Science in Computer Science,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
KS22B45/002,A10813,Bachelor of Science in Computer Science,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List16
KS24B45/004,A10839,Bachelor of Science in Computer Science,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,List16
KS24B45/007,A10845,Bachelor of Science in Computer Science,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List16
KS24B45/010,A10884,Bachelor of Science in Computer Science,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed,List16
KS25B45/005,A10843,Bachelor of Science in Computer Science,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List16
M22B45/001,A10803,Bachelor of Science in Computer Science,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List16
M22B45/003,A10830,Bachelor of Science in Computer Science,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based,List16
M22B45/007,A10877,Bachelor of Science in Computer Science,Mubende Secondary School,Mubende,Tier 2,Public/Mixed,List16
M22B45/009,A10889,Bachelor of Science in Computer Science,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List16
M23B45/001,A10807,Bachelor of Science in Computer Science,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
M24B45/001,A10811,Bachelor of Science in Computer Science,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List16
M24B45/004,A10863,Bachelor of Science in Computer Science,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List16
M24B45/007,A10888,Bachelor of Science in Computer Science,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed,List16
M24B45/011,A10912,Bachelor of Science in Computer Science,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,List16
M25B45/004,A10821,Bachelor of Science in Computer Science,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based,List16
M25B45/007,A10848,Bachelor of Science in Computer Science,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List16
M25B45/010,A10885,Bachelor of Science in Computer Science,Busoga High School,Iganga,Tier 2,Private/Faith-based,List16
M25B45/012,A10911,Bachelor of Science in Computer Science,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed,List16
S22B45/001,A10802,Bachelor of Science in Computer Science,Ntare School,Kampala,Tier 1,Public/Mixed,List16
S22B45/004,A10825,Bachelor of Science in Computer Science,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List16
S22B45/006,A10851,Bachelor of Science in Computer Science,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
S22B45/008,A10854,Bachelor of Science in Computer Science,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,List16
S22B45/011,A10868,Bachelor of Science in Computer Science,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List16
S22B45/013,A10896,Bachelor of Science in Computer Science,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
S23B45/001,A10804,Bachelor of Science in Computer Science,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed,List16
S23B45/003,A10828,Bachelor of Science in Computer Science,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed,List16
S23B45/005,A10832,Bachelor of Science in Computer Science,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List16
S23B45/007,A10865,Bachelor of Science in Computer Science,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List16
S23B45/009,A10881,Bachelor of Science in Computer Science,Ntare School,Kampala,Tier 1,Public/Mixed,List16
S24B45/002,A10826,Bachelor of Science in Computer Science,Pakwach Secondary School,Nebbi,Tier 2,Public/Mixed,List16
S24B45/006,A10844,Bachelor of Science in Computer Science,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed,List16
S24B45/011,A10892,Bachelor of Science in Computer Science,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List16
S24B45/013,A10910,Bachelor of Science in Computer Science,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List16
S25B45/003,A10823,Bachelor of Science in Computer Science,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based,List16
S25B45/006,A10857,Bachelor of Science in Computer Science,Gulu High School,Gulu,Tier 2,Private/Faith-based,List16
S25B45/008,A10894,Bachelor of Science in Computer Science,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List16
S25B45/011,A10909,Bachelor of Science in Computer Science,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List16
J22B44/002,A10923,Bachelor of Science in Data Science and Analytics,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based,List16
J22B44/007,A10985,Bachelor of Science in Data Science and Analytics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List16
J22B44/009,A11001,Bachelor of Science in Data Science and Analytics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List16
J22B44/011,A11016,Bachelor of Science in Data Science and Analytics,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed,List16
J22B44/013,A11034,Bachelor of Science in Data Science and Analytics,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List16
J23B44/003,A10971,Bachelor of Science in Data Science and Analytics,Mityana Secondary School,Mityana,Tier 2,Public/Mixed,List16
J23B44/005,A10977,Bachelor of Science in Data Science and Analytics,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List16
J23B44/008,A11017,Bachelor of Science in Data Science and Analytics,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List16
J24B44/002,A10930,Bachelor of Science in Data Science and Analytics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List16
J24B44/004,A10934,Bachelor of Science in Data Science and Analytics,Kotido Secondary School,Kotido,Tier 2,Public/Mixed,List16
J24B44/006,A10953,Bachelor of Science in Data Science and Analytics,Gomba Secondary School,Gomba,Tier 2,Public/Mixed,List16
J24B44/008,A11014,Bachelor of Science in Data Science and Analytics,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,List16
J25B44/002,A10962,Bachelor of Science in Data Science and Analytics,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based,List16
J25B44/004,A10979,Bachelor of Science in Data Science and Analytics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
KJ22B44/004,A10964,Bachelor of Science in Data Science and Analytics,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,List16
KJ23B44/002,A10957,Bachelor of Science in Data Science and Analytics,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List16
KJ24B44/009,A11022,Bachelor of Science in Data Science and Analytics,Ntare School,Kampala,Tier 1,Public/Mixed,List16
KM22B44/002,A10938,Bachelor of Science in Data Science and Analytics,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List16
KM22B44/010,A11026,Bachelor of Science in Data Science and Analytics,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,List16
KM23B44/009,A11025,Bachelor of Science in Data Science and Analytics,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List16
KM25B44/010,A11018,Bachelor of Science in Data Science and Analytics,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List16
KS22B44/003,A10936,Bachelor of Science in Data Science and Analytics,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,List16
KS23B44/005,A11007,Bachelor of Science in Data Science and Analytics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
KS24B44/010,A11021,Bachelor of Science in Data Science and Analytics,Busoga High School,Iganga,Tier 2,Private/Faith-based,List16
KS25B44/005,A10982,Bachelor of Science in Data Science and Analytics,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,List16
KS25B44/010,A11013,Bachelor of Science in Data Science and Analytics,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed,List16
M22B44/001,A10929,Bachelor of Science in Data Science and Analytics,Gayaza High School,Kampala,Tier 1,Private/Faith-based,List16
M22B44/004,A10965,Bachelor of Science in Data Science and Analytics,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed,List16
M22B44/007,A10990,Bachelor of Science in Data Science and Analytics,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List16
M22B44/009,A11003,Bachelor of Science in Data Science and Analytics,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,List16
M23B44/002,A10951,Bachelor of Science in Data Science and Analytics,Mubende Secondary School,Mubende,Tier 2,Public/Mixed,List16
M23B44/004,A10981,Bachelor of Science in Data Science and Analytics,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List16
M23B44/007,A10995,Bachelor of Science in Data Science and Analytics,Moroto High School,Moroto,Tier 2,Private/Faith-based,List16
M23B44/010,A11032,Bachelor of Science in Data Science and Analytics,Lira Town College,Lira,Tier 2,Private/Faith-based,List16
M24B44/003,A10928,Bachelor of Science in Data Science and Analytics,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
M24B44/005,A10940,Bachelor of Science in Data Science and Analytics,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List16
M24B44/007,A10955,Bachelor of Science in Data Science and Analytics,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,List16
M24B44/009,A10974,Bachelor of Science in Data Science and Analytics,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List16
M25B44/001,A10920,Bachelor of Science in Data Science and Analytics,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed,List16
M25B44/003,A10956,Bachelor of Science in Data Science and Analytics,Gulu High School,Gulu,Tier 2,Private/Faith-based,List16
M25B44/005,A10972,Bachelor of Science in Data Science and Analytics,Kumi Secondary School,Kumi,Tier 2,Public/Mixed,List16
M25B44/007,A10999,Bachelor of Science in Data Science and Analytics,Ngora High School,Soroti,Tier 2,Private/Faith-based,List16
M25B44/009,A11011,Bachelor of Science in Data Science and Analytics,Kasese Secondary School,Kasese,Tier 2,Public/Mixed,List16
M25B44/012,A11033,Bachelor of Science in Data Science and Analytics,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List16
S22B44/002,A10933,Bachelor of Science in Data Science and Analytics,Ntare School,Kampala,Tier 1,Public/Mixed,List16
S22B44/005,A10959,Bachelor of Science in Data Science and Analytics,King's College Budo,Kampala,Tier 1,Private/Faith-based,List16
S22B44/007,A11004,Bachelor of Science in Data Science and Analytics,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List16
S22B44/009,A11024,Bachelor of Science in Data Science and Analytics,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed,List16
S23B44/001,A10941,Bachelor of Science in Data Science and Analytics,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,List16
S23B44/004,A11006,Bachelor of Science in Data Science and Analytics,Butambala Secondary School,Butambala,Tier 2,Public/Mixed,List16
S23B44/007,A11029,Bachelor of Science in Data Science and Analytics,Lira Town College,Lira,Tier 2,Private/Faith-based,List16
S24B44/001,A10943,Bachelor of Science in Data Science and Analytics,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List16
S24B44/003,A10946,Bachelor of Science in Data Science and Analytics,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,List16
S24B44/006,A10961,Bachelor of Science in Data Science and Analytics,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,List16
S24B44/008,A10986,Bachelor of Science in Data Science and Analytics,Muni Girls School,Arua,Tier 2,Private/Faith-based,List16
S25B44/001,A10937,Bachelor of Science in Data Science and Analytics,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based,List16
S25B44/004,A10970,Bachelor of Science in Data Science and Analytics,Soroti Secondary School,Soroti,Tier 2,Public/Mixed,List16
S25B44/007,A10992,Bachelor of Science in Data Science and Analytics,Kasese Secondary School,Kasese,Tier 2,Public/Mixed,List16
S25B44/012,A11027,Bachelor of Science in Data Science and Analytics,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,List16
J22B46/002,A11090,Bachelor of Science in Information Technology,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed,List16
J22B46/004,A11114,Bachelor of Science in Information Technology,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed,List16
J22B46/006,A11122,Bachelor of Science in Information Technology,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List16
J22B46/010,A11144,Bachelor of Science in Information Technology,Kasese Secondary School,Kasese,Tier 2,Public/Mixed,List16
J22B46/012,A11151,Bachelor of Science in Information Technology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
J23B46/002,A11045,Bachelor of Science in Information Technology,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based,List16
J23B46/005,A11152,Bachelor of Science in Information Technology,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List16
J24B46/002,A11041,Bachelor of Science in Information Technology,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed,List16
J24B46/004,A11044,Bachelor of Science in Information Technology,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List16
J24B46/007,A11097,Bachelor of Science in Information Technology,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List16
J24B46/009,A11118,Bachelor of Science in Information Technology,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List16
J25B46/003,A11093,Bachelor of Science in Information Technology,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,List16
J25B46/006,A11124,Bachelor of Science in Information Technology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
KJ22B46/007,A11126,Bachelor of Science in Information Technology,Mityana Secondary School,Mityana,Tier 2,Public/Mixed,List16
KJ23B46/003,A11106,Bachelor of Science in Information Technology,Ntare School,Kampala,Tier 1,Public/Mixed,List16
KJ25B46/002,A11092,Bachelor of Science in Information Technology,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,List16
KJ25B46/008,A11139,Bachelor of Science in Information Technology,Moroto High School,Moroto,Tier 2,Private/Faith-based,List16
KM23B46/003,A11071,Bachelor of Science in Information Technology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List16
KM24B46/003,A11088,Bachelor of Science in Information Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List16
KM24B46/007,A11148,Bachelor of Science in Information Technology,Mubende Secondary School,Mubende,Tier 2,Public/Mixed,List16
KS22B46/009,A11089,Bachelor of Science in Information Technology,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed,List16
KS24B46/004,A11079,Bachelor of Science in Information Technology,Hoima Secondary School,Hoima,Tier 2,Public/Mixed,List16
M22B46/001,A11047,Bachelor of Science in Information Technology,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,List16
M22B46/003,A11057,Bachelor of Science in Information Technology,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed,List16
M22B46/005,A11060,Bachelor of Science in Information Technology,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based,List16
M22B46/008,A11103,Bachelor of Science in Information Technology,Nabumali High School,Mbale,Tier 1,Private/Faith-based,List16
M22B46/010,A11109,Bachelor of Science in Information Technology,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,List16
M22B46/012,A11116,Bachelor of Science in Information Technology,Nabumali High School,Mbale,Tier 1,Private/Faith-based,List16
M22B46/014,A11154,Bachelor of Science in Information Technology,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List16
M23B46/002,A11056,Bachelor of Science in Information Technology,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based,List16
M23B46/005,A11086,Bachelor of Science in Information Technology,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,List16
M23B46/008,A11140,Bachelor of Science in Information Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List16
M24B46/002,A11085,Bachelor of Science in Information Technology,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List16
M24B46/006,A11130,Bachelor of Science in Information Technology,Seeta High School,Kampala,Tier 2,Private/Faith-based,List16
M25B46/002,A11040,Bachelor of Science in Information Technology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List16
M25B46/004,A11080,Bachelor of Science in Information Technology,Gulu High School,Gulu,Tier 2,Private/Faith-based,List16
M25B46/006,A11115,Bachelor of Science in Information Technology,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,List16
M25B46/008,A11125,Bachelor of Science in Information Technology,Ntare School,Kampala,Tier 1,Public/Mixed,List16
S22B46/001,A11046,Bachelor of Science in Information Technology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
S22B46/003,A11064,Bachelor of Science in Information Technology,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,List16
S22B46/005,A11072,Bachelor of Science in Information Technology,King's College Budo,Kampala,Tier 1,Private/Faith-based,List16
S22B46/007,A11082,Bachelor of Science in Information Technology,Namasagali College,Kamuli,Tier 1,Private/Faith-based,List16
S22B46/010,A11128,Bachelor of Science in Information Technology,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based,List16
S22B46/012,A11132,Bachelor of Science in Information Technology,Pakwach Secondary School,Nebbi,Tier 2,Public/Mixed,List16
S23B46/001,A11043,Bachelor of Science in Information Technology,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based,List16
S23B46/003,A11067,Bachelor of Science in Information Technology,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed,List16
S23B46/005,A11084,Bachelor of Science in Information Technology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
S23B46/007,A11121,Bachelor of Science in Information Technology,Ntare School,Kampala,Tier 1,Public/Mixed,List16
S23B46/009,A11150,Bachelor of Science in Information Technology,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,List16
S24B46/001,A11049,Bachelor of Science in Information Technology,King's College Budo,Kampala,Tier 1,Private/Faith-based,List16
S24B46/006,A11101,Bachelor of Science in Information Technology,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed,List16
S24B46/008,A11112,Bachelor of Science in Information Technology,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,List16
S25B46/001,A11048,Bachelor of Science in Information Technology,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based,List16
S25B46/003,A11061,Bachelor of Science in Information Technology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,List16
S25B46/005,A11075,Bachelor of Science in Information Technology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,List16
S25B46/007,A11083,Bachelor of Science in Information Technology,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,List16
S25B46/009,A11111,Bachelor of Science in Information Technology,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,List16
S25B46/011,A11137,Bachelor of Science in Information Technology,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,List16
S25B46/013,A11147,Bachelor of Science in Information Technology,Pakwach Secondary School,Nebbi,Tier 2,Public/Mixed,List16
J24D47/004,A11182,Diploma in Information Technology,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based,List16
J24D47/006,A11185,Diploma in Information Technology,Makerere College School,Kampala,Tier 2,Private/Faith-based,List16
J24D47/008,A11188,Diploma in Information Technology,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,List16
J24D47/010,A11198,Diploma in Information Technology,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,List16
J24D47/012,A11205,Diploma in Information Technology,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,List16
J25D47/003,A11175,Diploma in Information Technology,Nabumali High School,Mbale,Tier 1,Private/Faith-based,List16
J25D47/005,A11179,Diploma in Information Technology,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed,List16
J25D47/007,A11195,Diploma in Information Technology,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,List16
J25D47/009,A11206,Diploma in Information Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List16
KJ24D47/001,A11164,Diploma in Information Technology,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based,List16
KJ24D47/013,A11213,Diploma in Information Technology,Kotido Secondary School,Kotido,Tier 2,Public/Mixed,List16
KM24D47/010,A11201,Diploma in Information Technology,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List16
M24D47/001,A11155,Diploma in Information Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,List16
M24D47/003,A11172,Diploma in Information Technology,Moroto High School,Moroto,Tier 2,Private/Faith-based,List16
M24D47/005,A11174,Diploma in Information Technology,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed,List16
M24D47/007,A11191,Diploma in Information Technology,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed,List16
M24D47/009,A11196,Diploma in Information Technology,Nebbi Secondary School,Nebbi,Tier 2,Public/Mixed,List16
M24D47/012,A11214,Diploma in Information Technology,Gayaza High School,Kampala,Tier 1,Private/Faith-based,List16
M25D47/001,A11156,Diploma in Information Technology,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,List16
M25D47/003,A11161,Diploma in Information Technology,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,List16
M25D47/005,A11183,Diploma in Information Technology,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed,List16
